app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
asahi,-583,2347,2416.315789473684,2471.684210526316,2300.5263157894738,2104.1052631578946,2203.2631578947367,2416.421052631579,10893.105263157893,16536.42105263158,66907.68421052632,73173.89474,116758.42105263159,141116.21052631576,167957.15789473685,217146.52631578947,265839.2631578947,285656.5789473684,285656.84210526315,285713
asahi,-583,2368.4736842105262,2397.1052631578946,2453.8947368421054,2275.842105263158,2150.3684210526317,2171.421052631579,4581.263157894738,12482.73684210526,16118.789473684199,31114.999999999993,67040.68421052632,80192.26316,100580.47368421037,173611.63157894736,203435.84210526315,224249.73684210522,285716.5263157895,285728.94736842107,285780
baidu,-560,-1309.684211,1320.052631578947,6837.210526315789,6489.631578947368,7327.526315789473,11426.842105263158,11661.684210526317,11673.21052631579,44720.63157894737,63783.21052631577,79050.31578947368,79070.52631578947,78743.78947368421,82351.31578947368,82805.89474,82154.36842105263,83391.10526,85877.84210526316,86212
baidu,-571,3871.4210526315787,4657.631578947368,4670.894736842105,4598.421052631578,7528.947368421053,16043.473684210516,25273.789473684206,37725.15789473684,41660.89473684211,59280.052631578954,71803,72166.57894736843,72130.78947368421,72251.84210526316,72370.26315789473,72280.15789473684,72324.21052631579,72170.84210526316,72018
baidu,-571,694.1578947368423,3033.0000000000005,4418.894736842105,4703.894736842105,4691.736842105263,4785.684210526316,4809.631578947368,4890.2631578947385,7602.157894736833,35637.84210526317,37828.47368421053,38971.89473684211,59992.84210526316,72120.63157894737,72790.36842105263,73582.15789473684,73541.89474,73617.94736842105,73694
baidu,-89,4553.157894736842,4234,7402.684210526316,7208.421052631579,6678.368421052631,9035.315789473685,38499,41709.47368421053,47909.473684210534,51251.73684210527,52777.57894736842,80802.84210526317,85090.05263157895,85359.05263157895,84694.15789473684,88571.10526,87064.68421052632,86535.94736842107,89813
baidu,-121,-631.8947368,2571.6842105263167,4243.894736842105,4528.894736842105,4516.736842105263,4512.684210526316,4379.157894736842,4489.2631578947385,7201.157894736833,35236.84210526317,37457.78947368421,38606.89473684211,39872.05263157895,56884.57894736844,71790.57894736843,71851.15789473684,72090.68421052632,73215.94736842105,73292
baidu,-571,2910.2631578947367,4364.894736842105,4657.631578947368,4626.684210526316,4659.105263157895,4598.421052631578,5661.157894736842,13850.631578947365,23845.578947368405,33053.15789473684,38809.15789473684,39396.63157894737,39321.68421052631,56538.578947368405,67177.73684210527,71344.47368421052,72028.15789473684,71983.42105263157,72055
baidu,-571,768.5789473684208,3324.999999999999,4603.9473684210525,4672.9473684210525,4719.368421052632,4818.8421052631575,4750.315789473684,5421.6315789473665,18865.631578947345,33733.63157894737,37611.73684210526,40509.15789473684,53444.52631578948,72114.36842105263,72474.68421052632,73577.57894736843,73514.94736842105,73595.47368421052,73676
baidu,-89,9.789473684210748,3381.9999999999995,4638.105263157895,4646.9473684210525,4703.684210526316,4146.421052631579,6347.210526,8330.157894736842,9502.421052631582,9027.894736842105,16368.526315789459,36490.210526315765,41668.26315789473,42950.57894736842,46590.473684210505,75892.21052631579,75878.63157894737,76472.63157894737,76515
baidu,-89,-178,-267,-838,3296,4468,4321,4426,4265,5527,30061,36915,37558,43052,71666,71751,73165,73080,72991,73076
baidu,-571,4696.315789473684,4222.526315789473,7005.684210526313,7428,7968.1578947368425,10009.842105263157,10806.42105263158,10771.15789473684,14414.105263157895,15465.21052631579,17230.36842105263,50068.52631578947,66449.26315789466,84616.84210526316,84144.47368421053,83946.68421052632,88027.26315789473,88012.52631578948,88409
