num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
91,3065971,52,64756,33691.98901098901,24973.30564088805,5e-05,0.046343,0.004639911,0.008405081,84,5192,40,569,61.80952380952381,58.44170737766196,4.2e-05,0.052378,0.005616554,0.011013476,36132,cnn
94,3066097,52,64756,32618.05319148936,23464.000807169705,8e-05,0.029915,0.003717925,0.005834391,86,5296,40,569,61.58139534883721,57.76920920479839,5.4e-05,0.04267,0.004544141,0.008594247,43624,cnn
104,3066814,52,64756,29488.596153846152,23237.647100499733,4.8e-05,0.043156,0.003813136,0.006302402,93,5660,40,569,60.86021505376344,55.58612420650588,4.6e-05,0.043044,0.004588261,0.008296581,53004,cnn
105,3066867,52,64756,29208.257142857143,19673.79436782525,4.2e-05,0.035618,0.003909,0.007665129,102,6128,40,569,60.07843137254902,53.11181671476472,4e-05,0.043466,0.004310762,0.008716384,34526,cnn
100,3066385,52,64756,30663.85,20143.32851953617,3.1e-05,0.026894,0.002971626,0.004528512,91,5544,52,569,60.92307692307692,56.134606234425725,5e-05,0.043389,0.003747578,0.007087823,38664,cnn
103,3038801,52,64756,29502.922330097088,22592.732696161016,0,0.114251,0.006200706,0.016055398,96,5887,40,569,61.32291666666666,55.09694705300299,5.8e-05,0.141915,0.007212463,0.020817204,42256,cnbc
110,3041618,52,64756,27651.072727272727,22708.90916173129,6e-05,0.139961,0.005347991,0.016310369,96,5887,40,569,61.32291666666666,55.09694705300299,4.1e-05,0.163028,0.006440842,0.020400702,33342,cnbc
110,3039133,52,64756,27628.48181818182,22680.844849291843,4.5e-05,0.105514,0.00501989,0.013796554,104,6303,40,569,60.60576923076923,52.55813577644979,4.1e-05,0.139719,0.005754,0.016772769,58566,cnbc
100,3040788,52,64756,30407.88,25866.42343890644,3.6e-05,0.143364,0.006364071,0.017334338,82,5171,40,569,63.06097561,59.50876013134326,3.6e-05,0.165626,0.008304309,0.023752653,33332,cnbc
116,3039378,52,64756,26201.53448275862,23723.58807,4.7e-05,0.127997,0.006875757,0.016215483,101,6147,40,569,60.86138613861386,53.31923287200789,4.5e-05,0.160437,0.00841102,0.021079413,58556,cnbc
101,3040842,52,64756,30107.346534653465,25657.83022565845,5.6e-05,0.107765,0.00611213,0.014969594,85,5315,40,569,62.52941176470589,58.483735678695965,5.1e-05,0.135898,0.007873905,0.020454507,59530,cnbc
97,3040613,52,64756,31346.52577319588,26343.815025658296,4e-05,0.109704,0.006065021,0.015708432,84,5275,40,569,62.79761904761905,58.81188711945851,5.8e-05,0.133889,0.007580458,0.0205693,59536,cnbc
39,600530,52,64756,15398.205128205129,19405.22896456884,8.6e-05,0.047315,0.007142974,0.008892793,35,2643,40,569,75.51428571428572,89.44580068680808,6.8e-05,0.056098,0.0092405,0.012394188,35306,bbc
94,3040568,52,64756,32346.468085106382,24890.14356966076,5.5e-05,0.111678,0.006201215,0.015070638,89,5523,40,569,62.056179775280896,56.76233537353993,6.4e-05,0.136838,0.007219864,0.019766709,57822,cnbc
101,3040918,52,64756,30108.09900990099,25829.90410803144,6.9e-05,0.146784,0.00696902,0.019155376,91,5651,40,569,62.0989011,56.12883096453786,4e-05,0.164106,0.008240189,0.023805919,39374,cnbc
35,600320,52,64756,17152,20168.65717044205,6e-05,0.037379,0.007981794,0.010491703,33,2539,40,569,76.93939393939394,91.99963973908385,5.5e-05,0.046498,0.009542719,0.01348454,41512,bbc
38,600510,52,64756,15802.894736842103,19387.13186,6.5e-05,0.03334,0.007561,0.009131334,35,2643,40,569,75.51428571428572,89.44580068680808,7.2e-05,0.043664,0.009516912,0.012252498,39506,bbc
38,600614,52,64756,15805.631578947368,18569.858440743326,4.5e-05,0.04642,0.006915649,0.010327553,39,2851,40,569,73.1025641,84.21394898577475,5.3e-05,0.046244,0.007940711,0.012099903,41518,bbc
27,565929,52,64756,20960.33333333333,22242.60746163336,0.000858,0.043218,0.009935192,0.009365597,28,2267,52,569,80.96428571428571,99.47286327989424,8.2e-05,0.066965,0.012163111,0.015745507,39522,bbc
37,600451,52,64756,16228.405405405403,20081.229049454032,6.6e-05,0.033933,0.006191917,0.008161995,35,2643,40,569,75.51428571428572,89.44580068680808,3.5e-05,0.043281,0.007816147,0.010496663,57918,bbc
37,600451,52,64756,16228.405405405403,17631.968319030726,9e-05,0.044133,0.007517333,0.010410155,35,2643,40,569,75.51428571428572,89.44580068680808,3.8e-05,0.048953,0.009005353,0.012740623,55140,bbc
42,600818,52,64756,14305.190476190475,19849.45472893411,4.2e-05,0.040636,0.006761659,0.009253501,36,2695,40,569,74.86111111111111,88.24581018877332,5.5e-05,0.050351,0.009324943,0.013380631,57908,bbc
42,850506,52,64756,20250.14285714286,21292.05032,7.8e-05,0.03103,0.006697805,0.007188877,37,2834,52,569,76.59459459,88.31460790814818,4.9e-05,0.043105,0.008753222,0.011991591,55566,nbcnews
42,857247,52,64756,20410.64285714286,22806.16231851836,0.000253,0.055363,0.008504268,0.010344671,40,2990,52,569,74.75,84.21271906,5.3e-05,0.094923,0.011362564,0.021277056,45398,nbcnews
92,1776352,52,64756,19308.17391304348,18813.17040051656,3.2e-05,0.283384,0.012148066,0.042194752,83,5360,52,569,64.57831325301204,59.06592441,6.3e-05,0.249231,0.013760488,0.040966498,59680,google
80,1775898,52,64756,22198.725,24605.18057983838,4.7e-05,0.260413,0.012383747,0.035658547,69,4632,52,569,67.13043478,65.05154360050338,4.7e-05,0.228626,0.014552191,0.037805899,52100,google
83,1775991,52,64756,21397.481927710844,23059.00351979437,4.4e-05,0.269699,0.012264451,0.036608974,66,4476,52,569,67.81818181818181,66.45273834513102,4.3e-05,0.232912,0.015396785,0.039677578,52114,google
80,1775939,52,64756,22199.2375,23865.38522,7.6e-05,0.279256,0.014129911,0.039985178,76,5035,52,569,66.25,62.14394580327194,3.7e-05,0.247282,0.014892093,0.039521235,51864,google
87,1776170,52,64756,20415.74712643678,22304.918573858868,3.5e-05,0.291049,0.013542837,0.037850487,72,4788,52,569,66.5,63.7351474,5e-05,0.256568,0.016367423,0.040201945,50976,google
74,1775598,52,64756,23994.567567567567,23980.08425846993,5.2e-05,0.219887,0.011120877,0.027082427,68,4619,52,569,67.92647058823529,65.54303956270647,4.7e-05,0.216076,0.012661866,0.031023811,37114,google
79,1775937,52,64756,22480.21518987342,23315.810534677905,6.4e-05,0.283356,0.012398782,0.03771305,72,4827,52,569,67.04166666666667,63.77589228399497,5.2e-05,0.251598,0.013722845,0.038324818,51836,google
76,1775846,52,64756,23366.394736842107,23768.22231752805,3.6e-05,0.19518,0.012912067,0.029474908,68,4580,52,569,67.35294118,65.50874721264037,3.4e-05,0.217083,0.015207075,0.03660171,37138,google
80,1776235,52,64756,22202.9375,23100.174711566688,5.3e-05,0.523735,0.01973119,0.07072998,71,4736,52,569,66.70422535211267,64.16505376564804,5.8e-05,0.474236,0.022355457,0.069388609,42158,google
81,1775526,52,64756,21920.07407407408,23685.703900126005,5.8e-05,0.284073,0.01427165,0.041447148,72,4788,52,569,66.5,63.7351474,4.6e-05,0.251581,0.015986155,0.041771268,59670,google
