app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
nhk,-583.0,682.1578947368423,2653.894736842106,3040.1052631578946,2900.7894736842104,2755.7894736842104,2905.7894736842104,3343.421052631579,3452.315789473684,3550.4736842105262,3830.5263157894738,4068.4736842105267,4038.5263157894738,3942.2631578947367,4087.8421052631584,12797.473684210518,24948.42105263158,25810.052631578947,25748.473684210527,25829.0
nypost,-571.0,10610.736842105265,113001.42105263159,250135.1052631579,329509.3157894737,395762.42105263163,481432.2105263158,554226.5789473684,624382.7894736843,715071.3684210527,807096.6842105266,881090.0526315793,954652.7368421052,1053067.7368421052,1147281.4736842106,1225843.368421053,1308727.5789473685,1405615.2105263157,1500021.894736842,1560444.0
nypost,-571.0,5800.57894736842,30536.473684210527,51963.0,79998.8947368421,112556.8947368421,172139.42105263157,456791.1052631579,548074.3684210526,623785.0,712105.947368421,818172.8421052631,920943.8947368421,993595.4210526316,1103879.3684210526,1192714.4736842099,1296108.5263157894,1383934.7894736843,1472755.3684210523,1559142.0
nypost,-571.0,13189.421052631578,31466.526315789477,64554.21052631579,111001.05263157895,158344.73684210525,212170.42105263157,299012.7368421053,401524.26315789483,517794.15789473697,618230.7368421054,744119.4736842106,858451.3684210526,977973.6315789474,1091584.4736842106,1197158.2105263162,1319009.6842105263,1408481.3684210526,1515797.4210526317,1594124.0
nhk,-583.0,756.5789473684208,2896.947368421052,3017.0526315789475,2866.8947368421054,2712.8947368421054,2911.5263157894738,3304.052631578947,3411.842105263158,3535.736842105263,3808.578947368421,3899.842105263158,3965.7894736842104,7616.315789473685,15412.105263157893,18170.63157894736,24811.210526315786,25885.526315789473,25809.736842105263,25895.0
nhk,-583.0,1888.263157894737,2937.684210526316,3040.1052631578946,2900.7894736842104,2755.7894736842104,2905.7894736842104,3343.421052631579,3491.3157894736846,3794.842105263158,4030.157894736842,3962.315789473684,3864.4736842105262,14093.105263157899,20401.21052631579,22423.526315789473,25127.0,25810.052631578947,25748.473684210527,25829.0
nytimes,-583.0,3439.0,3246.0,4883.0,25301.0,51111.0,72877.0,97339.0,115061.0,135479.0,170725.0,241019.0,308617.0,345211.0,416853.0,500627.0,607317.0,716703.0,801825.0,803115.0
nytimes,-583.0,3521.1052631578946,3157.8947368421054,3297.842105263157,7466.368421052628,32099.526315789466,62976.05263157894,82784.78947368418,127496.05263157893,157663.10526315786,206134.5789473684,289654.0526315789,346213.52631578944,389860.5789473684,503248.894736842,576906.6842105264,668585.1052631577,728975.7368421048,798823.8421052631,799109.0
nytimes,-583.0,3493.7368421052633,3135.684210526316,4190.894736842105,16106.578947368422,32452.789473684214,65187.84210526315,74155.52631578951,116255.63157894737,169423.52631578944,213368.26315789475,268806.4736842105,306365.947368421,393872.36842105264,489750.57894736854,575483.3157894737,640925.1052631579,708211.5263157894,787867.6315789474,787940.0
polimiit,-571.0,3264.5263157894738,2960.684210526316,3504.210526315789,15494.894736842107,23382.894736842103,36994.36842105263,43040.05263157895,51098.36842105264,60994.57894736843,83102.8947368421,96120.68421052632,141563.73684210528,182211.00000000012,291502.4736842107,337804.47368421056,415243.31578947377,503061.1052631579,550794.6842105263,559534.0
